name,Lat,Long,fclass
Ruth's Chris Steak House,29.4214879,-98.4785197,restaurant
Centro Cultural Aztlan Galeria Expresion,29.4614381,-98.5225476,community_centre
Centro Cultural Aztlan Galeria Expresion,29.4614381,-98.5225476,museum
Starbucks,29.446476,-98.4972953,cafe
food court,29.4462938,-98.4973006,restaurant
SAC Bookstore,29.4461945,-98.4974553,bookshop
Beethoven Maennerchor,29.4117176,-98.4916301,theatre
Conjunto Heritage Taller,29.4134598,-98.488239,theatre
Villa Finale Visitor Center,29.415976,-98.4903176,museum
Robert Hughes Gallery,29.4127038,-98.491479,museum
Robot Art Gallery,29.4125321,-98.4882121,museum
Amphitheater,29.4190747,-98.5154088,theatre
None,29.4187149,-98.516487,pharmacy
El Progresso,29.4185479,-98.5145397,theatre
Ayers Inn,29.4527004,-98.4947615,guesthouse
Beauregard House B&B,29.4149843,-98.4921006,guesthouse
Madhatter's Tea House and Cafe,29.4139798,-98.4912468,cafe
Fiesta Bed and Breakfast,29.4243958,-98.5190285,guesthouse
El Puente,29.4212421,-98.4852717,cafe
F.I.S.H.,29.4396354,-98.4816877,artwork
La Fogata,29.495855,-98.5352944,restaurant
il Sogno Osteria,29.4440938,-98.4802759,restaurant
Allen’s Flowers & Gifts,29.449339,-98.4921523,florist
Chris Casseb Clothing,29.4498108,-98.495092,clothes
Jimmy John's,29.4450528,-98.4940724,fast_food
Bear Cave,29.6475458,-98.471715,attraction
Cub Cave,29.647364,-98.4700949,attraction
Taking Flight Bronze Sculpture,29.539122,-98.3923691,artwork
Wingstop,29.353162,-98.4312303,fast_food
Buffalo Wild Wings,29.3503098,-98.435439,restaurant
Subway,29.5890197,-98.623225,fast_food
Pizza Hut,29.5123888,-98.6629785,restaurant
Rosario's Cantina,29.4152835,-98.4895838,restaurant
Cascabel's,29.4144868,-98.4888784,restaurant
The Friendly Spot,29.4146036,-98.4907273,bar
Liberty Bar,29.4124104,-98.4924288,restaurant
6 Klicks Cafe,29.5633786,-98.6840142,restaurant
Cowboy Bar,29.5638412,-98.6853081,bar
Tejas Barbacoa,29.5637181,-98.6851353,restaurant
Twin Bros Burgerz,29.5659503,-98.6896098,restaurant
Fox and Hound,29.563067,-98.585686,pub
KOGI Korean Grill,29.562787,-98.5855465,restaurant
Eleanor Kolitz Academy,29.5571711,-98.5337495,school
H-E-B Pharmacy,29.5528489,-98.5348749,pharmacy
Sheldon Vexler Theatre,29.5567599,-98.534306,theatre
The Lost Bar & Grill,29.559649,-98.5353943,bar
Town and Country Veterinary Hospital,29.5396945,-98.6508359,veterinary
Rome's Pizza,29.5641054,-98.6003639,restaurant
Freebirds World Burrito,29.5464796,-98.5765134,fast_food
Great Clips,29.5518364,-98.5729685,hairdresser
Subway,29.5080905,-98.30912,fast_food
Bayseas Seafood,29.5119384,-98.3078554,fast_food
Valley Mart,29.5231681,-98.7998662,convenience
Subway,29.523084,-98.7996838,fast_food
Corner Store,29.4898361,-98.677919,convenience
The Vault,29.4239286,-98.4892102,nightclub
Charlene McCombs Empire Theatre,29.4262145,-98.4911749,theatre
Bonham Exchange,29.4265931,-98.4842348,bar
Amphitheater,29.4431176,-98.4812509,theatre
Pearl Farmer's Market,29.4436402,-98.4797301,market_place
Atalante Boutique,29.4437804,-98.480127,clothes
Melissa Guerra,29.4436683,-98.4805025,gift_shop
The Twig Bookshop,29.4439813,-98.4800841,bookshop
Ringside Sports Bar,29.4218586,-98.4785754,bar
Cameo Theatre,29.4220268,-98.4792621,theatre
Spagetti Warehouse,29.4248817,-98.478106,restaurant
Ancira Kia Used Cars,29.4836469,-98.600406,car_dealership
Ancira-Winton Chevrolet,29.4857812,-98.6055242,car_dealership
Ancira Volkswagen,29.4865187,-98.6061137,car_dealership
Schlotzsky's,29.4960606,-98.7112722,fast_food
ACCPD - Northwest Vista Substation,29.4696069,-98.7074466,police
Freebirds,29.4911997,-98.7082583,fast_food
Ride Away Bicycles,29.4912513,-98.7083901,bicycle_shop
Pico de Gallo,29.4254445,-98.5029057,restaurant
Spring Garden Flower Shop,29.4306881,-98.4822921,florist
None,29.5408414,-98.3925645,shelter
None,29.5414953,-98.3913365,shelter
None,29.5414621,-98.3923392,shelter
None,29.5405194,-98.3900915,shelter
None,29.5412664,-98.3897593,shelter
USAA,29.4934904,-98.7081353,atm
Private Subdivision Playground,29.5583911,-98.3549733,playground
Mission Espada Visitor's Center,29.3176188,-98.4500404,museum
Gourmet Burger Grill,29.5464499,-98.5758935,restaurant
King's Highway Monument,29.320908,-98.4552665,memorial
High Lonesome Windmill,29.5741841,-98.7515275,comms_tower
Hoffmann Hayfield,29.5683607,-98.7680941,attraction
McDonald's,29.5160224,-98.6957389,fast_food
Bexar County Sheriff's Office,29.413356,-98.5953643,police
VIA Info Center,29.4024589,-98.6320921,tourist_info
L&M Bookstore,29.4458024,-98.494049,bookshop
Amy's Tex-Mex,29.490384,-98.6800729,restaurant
Corner Store,29.4901413,-98.6911638,convenience
University Bookstore,29.4447443,-98.493998,bookshop
Starbucks,29.4941836,-98.7069717,cafe
Chang's Korean Restaurant,29.4166457,-98.6477268,restaurant
Cici's Pizza,29.5648435,-98.5930495,restaurant
CVS Pharmacy,29.5642455,-98.6856883,pharmacy
Pavillion #3,29.5611719,-98.4465548,shelter
Pavillion #2,29.5602527,-98.4473648,shelter
Cavender Cadillac,29.4328579,-98.4826306,car_dealership
Old Spanish Trail City Limit Marker and Bench,29.4801105,-98.5412603,memorial
Subway,29.5106343,-98.3916851,fast_food
Pho Hai An,29.511366,-98.392355,restaurant
Fishland Fish Market,29.5106266,-98.3906265,restaurant
Thai Chalurn,29.5108125,-98.3922814,restaurant
Church's Chicken,29.4893709,-98.5500231,fast_food
Credit Human,29.564745,-98.5925819,bank
Babe's,29.4902985,-98.5520018,restaurant
Simi's,29.4902004,-98.5522164,restaurant
South Garden,29.4825003,-98.5448886,restaurant
Subway,29.4834622,-98.5456932,fast_food
Big Lots,29.5322117,-98.5590292,department_store
Freddy's,29.4125275,-98.500478,fast_food
Subway,29.3707883,-98.5968606,fast_food
