name,Lat,Long,fclass
Evans Number 1 School,42.6828367,-79.0169823,school
Highland Elementary,42.703293,-78.9730467,school
Evans Park School,41.0653379,-74.0110649,school
James S Evans Elementary School,41.589538,-73.9134701,school
Eymard Seminary,41.7795377,-73.9395816,school
Falkner Park,43.2514435,-79.0486577,park
Fall Creek School,42.450906,-76.4954959,school
Fallen High School,42.9031134,-78.8692021,school
J. Sloat Fassett School,42.1124202,-76.8225407,school
Federal Hill School,42.2839733,-74.8729377,school
Feinburg Park,44.8808723,-73.6584762,park
Fern Cliff School,42.9811817,-75.0232121,school
Fieldston Upper School,40.8891988,-73.9069831,school
PS 89 Dr. Lydia T. Wright School of Excellence,42.9245022,-78.8350345,school
Fireman Park,42.821946,-78.679176,park
Firemens Memorial Field,40.6714022,-73.6882212,park
Fish School,42.5481261,-75.9624228,school
Fisher School,42.8181144,-78.788643,school
Flanders Elementary School,44.8489373,-74.2860094,school
M.J. Fletcher Elementary School,42.081169,-79.2403264,school
Fontbonne Hall Academy,40.61351,-74.0364565,school
Forness Park,42.0742318,-78.4161303,park
Fort Plank School,42.9495168,-74.6643105,school
Founders Landing Park,41.0603838,-72.413919,park
Fox Meadow School,41.0028755,-73.7912437,school
Franklin Academy,44.8467153,-74.2962871,school
Franklin Avenue Elementary School,40.66278,-73.70333,school
None,40.6952787,-73.6225182,school
Franklin School,41.2803717,-73.9279161,school
Franklin School,41.7116876,-73.9352605,school
Franklin School,42.0947981,-75.8910281,school
Franklin School,42.8217253,-78.8289221,school
Newburgh Free Academy,41.5091098,-74.0268451,school
French School,44.2497728,-73.4715188,school
Frost School,42.9570414,-78.8895499,school
Fulton School,42.9345112,-76.5593858,school
Ganahgote School,41.6775935,-74.176813,school
Gardeau Overlook,42.640149,-77.9831795,viewpoint
Gardner Road School,42.1775747,-76.8466243,school
Gardner School,42.2525608,-79.0017063,school
Geiger Memorial Park,40.7542655,-73.3509533,park
Gen Martin High School,43.7084025,-75.4037917,school
General Theological Seminary,40.74528,-74.00472,school
Genesse Humboldt Junior High School,42.9086691,-78.8261451,school
George F Johnson School,42.1006303,-76.0765917,school
George Junior Republic High School,42.5060714,-76.3330223,school
George W Johnson School,42.1114636,-76.0488129,school
Gifford Hill School,43.3003473,-75.362394,school
Gilmore School,43.0442235,-78.879204,school
Brooklyn Adult Learning Center,40.6814693,-73.9495832,school
Gladden School,42.1064632,-76.2285425,school
Glen Burnie School,42.2825845,-74.8471038,school
Glen Island Ranger Station,43.5731678,-73.6007909,convenience
Glenham School,41.5181492,-73.9281929,school
Glenwood School,42.0639637,-76.044368,school
Margaret Gibson Preschool,42.4934204,-76.557921,kindergarten
Gompers Vocational High School,40.8103786,-73.9076366,school
Good Shepherd School,40.6042714,-73.9401376,school
Goshen Secure,41.365094,-74.3857102,prison
Goshen Christian School,41.385132,-74.340937,school
Gow School,42.708473,-78.5828878,school
Grace Lutheran School,40.6646298,-73.7012811,school
Grace School,40.7148249,-73.7351319,school
Minnie S Graham Public School Number 9,40.9053772,-73.8201337,school
Gratwick School,43.0570011,-78.8836489,school
Gratwick Waterfront Park,43.0522789,-78.8969826,park
Gray School,42.902297,-74.1620737,school
Green Acres School,42.9961685,-78.830035,school
Green Meadow School,41.0830232,-74.0617992,school
Greenacres School,41.0103754,-73.7840213,school
Greenvale School,40.9731498,-73.806076,school
Greenville School,40.9968877,-73.8269331,school
Greer School,41.7289829,-73.6598504,school
Nelson Mandela High School,40.9081549,-73.8420787,school
Guardian Angels School,43.0783959,-77.6091669,school
Gulf School,42.2528506,-77.3647034,school
Gunther Field,40.689291,-73.5461564,park
H L Johnson School,42.1236863,-75.9574203,school
Hackley School,41.0703745,-73.8426345,school
Cecil H Parker Elementary School,40.8998216,-73.834023,school
MS 447,40.6838398,-73.9805745,school
Halfway School,43.017566,-76.3935446,school
Halls Pond Park,40.6881489,-73.6606631,park
Hamlin Park,42.7625598,-78.6164146,park
Hanging Bog Game Management Area,42.3175661,-78.2336242,park
Hank Miller Memorial Field,42.4631199,-78.1133413,park
Happy Valley Wildlife Management Area,43.4439589,-75.9743628,park
Hard Estate-West Sayville County Park,40.7239875,-73.1001119,park
Hardy School,42.0717409,-76.8085672,school
Harlow School,43.6033996,-73.3323344,school
Harrison Junior High School,44.8439375,-74.2821198,school
Hawkins School,42.6813748,-77.8261551,school
Hawthorne Cedar Knolls School,41.1034295,-73.7840218,school
Hawthorne Park,42.3595022,-79.5547696,park
Hawthorne School,41.1023184,-73.8012446,school
Cardinal Hayes High School,40.82028,-73.92556,school
Hayner School,42.9086825,-75.0504354,school
Hazelton Park,43.2120139,-75.4265625,park
Hebrew Academy,40.6331597,-73.9887501,school
Mesorah Academy,40.7187473,-73.8345869,school
Hemlock Lake Park,42.7758974,-77.6108292,park
Hemlock Playground,40.7384345,-73.6254063,park
Hempstead Harbor Park,40.8297609,-73.6565084,park
Hempstead Town Park of Point Lookout,40.5892701,-73.5895731,park
Henley School,40.7181583,-73.7754107,school
Hennepin Park,43.0861671,-78.9686525,park
Joseph Henry Elementary School,43.0236857,-74.035683,school
Henry Street Park,40.6803797,-73.5954059,park
Heritage School,43.0095016,-78.8439245,school
Herman School,42.9355694,-76.5431719,school
Hewlett School of East Islip,40.72556,-73.20028,school
Hicks School,42.7545192,-74.3676326,school
Highland School,43.0070014,-78.8775369,school
Highland State Training School,41.770371,-73.98125,school
Highlands Middle School,41.012042,-73.7631874,school
Highview School,41.0228752,-73.7906882,school
Hiller School,43.1425626,-77.5577768,school
Hillhurst Park,42.8017432,-73.9659582,park
Carl L Dixson Elementary School,41.0525969,-73.8179114,school
Hilltop School,41.0898185,-73.932915,school
Hoisington School,44.1847739,-73.496518,school
Holy Apostles School,43.1647843,-77.6430579,school
Holy Cross School,40.6501038,-73.9537492,school
Holy Cross School,40.8176757,-73.8609622,school
Holy Cross School,42.1570077,-78.7258648,school
Holy Cross School,42.8950562,-78.8867015,school
Saint Anthony's High School,40.81222,-73.38944,school
Holy Family School,40.7234356,-73.9540269,school
Holy Family School,40.924142,-73.7912123,school
Holy Family School,42.8471612,-78.8250827,school
Holy Family School,43.0458997,-76.2418717,school
Holy Ghost School,43.104223,-78.9111506,school
Holy Ghost School,43.1378396,-77.7352834,school
Holy Name of Mary School,41.2083973,-73.8845326,school
Holy Name School,40.9189881,-73.7720767,school
Holy Name School,41.0725166,-73.7703495,school
Holy Name School,42.9078359,-78.813089,school
De La Salle School,40.6549078,-73.5855591,school
Holy Rosary School,43.1797842,-77.6411136,school
Holy Spirit School,40.7309577,-73.6891151,school
Holy Spirit School,42.582838,-78.942535,school
Holy Trinity School,41.6973434,-73.901482,school
Holy Trinity School,43.0867224,-79.0442106,school
Holy Trinity School,43.2147851,-77.415271,school
Hoosic Valley Central School,42.906744,-73.5820605,school
Hoover School,42.9592399,-78.8706672,school
Hopewell School,41.5867602,-73.7979105,school
Horace Mann School,42.9557222,-78.8807094,school
Hornell Intermediate School,42.3267366,-77.6633247,school
Hornell High School,42.3336809,-77.6633248,school
Houghton Academy,42.4250647,-78.1613987,school
Houghton University,42.4269793,-78.1556721,university
Howells School,41.4862048,-74.4751585,school
Howland Island Game Refuge,43.0836768,-76.6788379,park
Hoyt School,41.9150925,-73.8884679,school
Huckleberry Island,43.554287,-73.6162548,picnic_site
Hudson Country School,40.9531542,-73.7809658,school
Hugh R Jones Elementary School,43.0742364,-75.2715541,school
Hutchinson Field,40.8978773,-73.8187448,park
Hutchinson Central Technical High School,42.8917985,-78.878844,school
Hutchinson School,40.9170513,-73.809536,school
Huth Road School,43.0531119,-78.9575405,school
Hyde Park,43.1036668,-79.0172656,park
Immaculate Conception School,41.0400971,-73.8629126,school
Immaculate Conception School,41.2281498,-73.9795844,school
Immaculate Conception School,42.6464487,-78.8992007,school
Immaculate Conception School,42.895705,-78.8776238,school
Immaculate Conception School,43.1464512,-77.6172234,school
Immaculate Heart of Mary School,40.9813614,-73.7994306,school
Industrial School,42.8351362,-78.7893056,school
Infant of Prague School,42.9442248,-78.7644765,school
Ingalls School,42.1939634,-76.0635362,school
Iona College,40.9252494,-73.7882666,school
Iona Grammar School,40.9659905,-73.7879851,school
